MUKEY,EffectivePorosity_WtAvg
662028,0.423581600358
662029,0.417092886366
662030,0.406716362582
662031,0.357251345941
662032,0.429669122641
662033,0.42711757333
662034,0.455620787198
662035,0.423451332035
662036,0.446788517274
662037,0.460462488788
662038,0.426299063046
662039,0.426533203708
662040,0.435335020671
662041,0.418959404574
662042,0.398306575724
662043,0.432100230174
662044,0.464303224055
662045,0.433842831161
662046,0.37517811021
662047,0.420166551733
662048,0.4195475827
662049,0.428361521244
662050,0.44329028402
662051,0.294068838912
662052,0.258620258068
662053,0.23903225113
662054,0.389422826847
662055,0.262513219276
662056,0.405736574381
662057,0.414035365987
662058,0.414848381726
662059,0.400062981015
662060,0.348494060486
662061,0.389272881019
662062,0.393220664256
662063,0.429354789883
662064,0.348652897796
662065,0.399783226617
662066,0.399247709046
662067,0.41109865189
662068,0.42024604032
662069,0.422361918819
662070,0.394423741497
662071,0.432564218942
662072,0.406251967786
662073,0.419637669967
662074,0.463714688472
662075,0.240593327622
662076,0.409154454673
662077,0.445765394337
662078,0.415485531289
662079,0.429477670457
662080,0.419724121302
662081,0.395734136193
662083,0.330985326255
662084,0.386103103565
662085,0.410444466129
662086,0.418418031405
662087,0.40051742364
662088,0.417870022119
662089,0.404513045384
662090,0.417522076707
662091,0.204783112583
662092,0.396292901962
664152,0.419637669967
664228,0.380310814928
664230,0.397459356889
664235,0.385839553512
664293,0.422507154252
664295,0.281509962105
664304,0.443459579717
664345,0.435272504489
664364,0.305276426799
664399,0.431314338313
664402,0.4402050322
664446,0.37834171724
664447,0.348333571972
664448,0.357519967187
664461,0.42686
664462,0.4617
664496,0.275042053976
664501,0.202366714515
664504,0.182845344862
664539,0.375817664288
664612,0.41174622511
664614,0.327570938364
664627,0.404303605969
664646,0.436954368788
664654,0.448774051044
664662,0.433199662744
664663,0.406362195464
664691,0.281319696958
666910,0.43786966393
666911,0.419224668619
666912,0.436858614946
666913,0.429205818725
666914,0.408818873302
667041,0.405141771567
670344,0.414920466479
670345,0.430377923552
670346,0.431875378118
670347,0.411591345062
670418,0.454708761366
670484,0.421204552235
670800,0.401254069886
674303,0.437031136367
674305,0.421531289574
674308,0.449682493266
674311,0.454657346881
674312,0.467011616162
674313,0.432212025826
674316,0.431218928464
674330,0.433938708325
674331,0.264419078947
674333,0.424337516019
674336,0.413603370707
674338,0.420417601336
674345,0.440795969231
675751,0.445661241645
675765,0.415997553978
675766,0.411320874413
675767,0.414733860878
675768,0.423101674692
675769,0.414925186744
675770,0.410999600071
675772,0.42466907245
675780,0.428453446532
677003,0.423540511026
677004,0.364460851584
677007,0.387487068591
677069,0.438723555028
677071,0.439068238993
677076,0.438564143426
