TopDepth,BottomDepth,HorizonDepth,ksat_r,dbthirdbar_r,dbfifteenbar_r,COKEY,CHKEY
203,213,,42.343,1.65,,2967534,7940435
79,117,,4.2343,1.55,,2967534,8023751
117,150,,0.0,,,2967534,8107068
0,15,,4.2343,1.45,,2967534,8190383
150,203,,4.2343,1.55,,2967534,8190384
64,71,,4.2343,1.45,,2967535,7940439
71,81,,,,,2967535,8023756
0,28,,14.1143,1.28,,2967535,8107072
28,64,,4.2343,1.33,,2967535,8190388
36,46,,,,,2967649,7940810
46,130,,42.343,1.58,,2967649,8024127
0,8,,4.2343,1.43,,2967649,8107443
130,140,,,,,2967649,8107444
8,36,,1.4114,1.48,,2967649,8190759
0,10,,42.343,1.4,,2968798,7944432
10,43,,42.343,1.4,,2968798,8027749
43,53,,,,,2968798,8111066
76,127,,4.2343,1.2,,2969706,8114054
127,178,,4.2343,1.2,,2969706,8197370
0,76,,4.2343,1.1,,2969706,8030737
0,18,,1.4,1.2,,2970010,7948367
18,30,,0.42,1.25,,2970010,8031684
30,66,,0.42,1.3,,2970010,8115001
66,76,,,,,2970010,8198317
18,152,,4.0,1.3,,2970048,7948500
0,18,,4.0,1.25,,2970048,8198449
0,38,,4.0,1.4,,2970049,8031819
38,152,,4.0,1.53,,2970049,8115136
0,13,,4.0,1.3,,2970050,7948505
13,53,,4.0,1.3,,2970050,8031822
53,152,,1.41,1.3,,2970050,8115139
0,13,,4.0,1.3,,2970051,7948508
13,53,,4.0,1.3,,2970051,8031825
53,152,,1.41,1.3,,2970051,8115142
0,8,,4.23,1.3,,2970052,7948511
74,97,,1.41,1.35,,2970052,7948512
8,23,,4.23,1.3,,2970052,8031828
97,157,,1.41,1.35,,2970052,8031829
23,58,,4.23,1.3,,2970052,8115145
58,74,,4.23,1.3,,2970052,8198461
15,127,,0.0,1.65,,2970053,7948515
127,137,,,,,2970053,8031832
0,15,,4.0,1.55,,2970053,8198464
0,20,,4.0,1.55,,2970054,8115151
20,152,,4.0,1.55,,2970054,8198467
0,30,,4.0,1.28,,2970055,7948520
30,58,,4.0,1.3,,2970055,8031837
58,152,,4.0,1.25,,2970055,8115154
0,86,,4.0,1.33,,2970056,7948522
86,152,,4.0,1.4,,2970056,8031839
25,41,,4.0,1.35,,2970058,7948528
41,152,,4.0,1.35,,2970058,8031845
0,25,,4.0,1.3,,2970058,8198477
0,51,,4.0,1.24,,2970059,8031847
51,152,,4.0,1.4,,2970059,8115164
43,74,,4.0,1.55,,2970061,7948537
74,152,,4.0,1.6,,2970061,8031854
0,8,,4.0,1.45,,2970061,8115170
8,43,,0.42,1.55,,2970061,8198486
13,69,,4.0,1.25,,2970062,7948540
69,152,,4.0,1.25,,2970062,8031857
0,13,,4.0,1.25,,2970062,8198489
48,58,,,,,2970063,7948544
0,18,,4.0,1.48,,2970063,8031860
18,38,,4.0,1.55,,2970063,8115177
38,48,,4.0,1.55,,2970063,8198493
0,18,,4.0,1.48,,2970064,7948546
18,38,,4.0,1.55,,2970064,8031863
38,48,,4.0,1.55,,2970064,8115180
48,58,,,,,2970064,8198496
112,152,,4.0,1.35,,2970066,7948552
0,18,,4.0,1.3,,2970066,8115185
18,112,,4.0,1.35,,2970066,8198501
0,25,,4.0,1.4,,2970067,7948555
25,112,,4.0,1.45,,2970067,8031872
112,152,,4.0,1.55,,2970067,8115189
18,56,,4.0,1.35,,2970068,8031875
56,66,,,,,2970068,8115192
0,18,,4.0,1.25,,2970068,7948558
0,56,,1.41,1.28,,2970069,7948561
56,152,,1.41,1.35,,2970069,8031878
0,30,,1.41,1.45,,2970070,7948564
64,140,,1.41,1.45,,2970070,8031881
140,152,,42.34,1.65,,2970070,8115198
30,64,,1.41,1.45,,2970070,8198513
13,64,,14.11,1.5,,2970071,7948566
64,74,,,,,2970071,8031883
0,13,,14.11,1.45,,2970071,8198515
0,91,,4.0,1.28,,2970072,7948568
91,102,,,,,2970072,8031885
18,36,,4.0,1.45,,2970073,7948571
36,163,,4.0,1.45,,2970073,8031888
0,18,,4.0,1.35,,2970073,8198520
0,10,,0.42,1.35,,2970074,7948573
36,109,,0.0,1.58,,2970074,7948574
10,18,,0.42,1.15,,2970074,8031890
109,152,,0.0,1.15,,2970074,8031891
18,28,,1.41,1.2,,2970074,8115207
28,36,,1.41,1.4,,2970074,8198523
0,13,,42.0,1.5,,2970075,7948577
13,102,,14.11,1.38,,2970075,8031894
102,155,,14.11,1.48,,2970075,8115211
