MUKEY,dbthirdbar_r_WtAvg
661931,1.33397129271
661932,1.40747849304
661933,1.50431568354
661934,1.42900446841
661935,1.42269144065
661936,1.36423090632
661937,1.43826315669
661938,1.45012428155
661939,1.45650063331
661940,1.20894640325
661941,1.36106178617
661942,1.39800044978
661943,1.27220951733
661944,1.2950224067
661946,1.2275
661947,0.6285
661948,0.0465
661949,0.273
661950,0.418
661951,1.23145718399
661952,1.28110973329
661953,1.22206030682
661954,1.08684703842
661955,1.30065432275
661956,0.3108
661957,1.05000794702
661958,1.36892472334
661959,1.32313900427
661960,1.24703081166
661961,1.35558855535
661962,1.2196360206
661963,1.30156200558
661964,1.37888342257
661965,1.34914179709
661966,1.26937305728
661967,1.3174101505
661968,1.35785682535
661969,1.30949999778
661970,1.33718251503
661971,1.39446207763
661972,1.44703310782
661973,1.34472136543
661974,1.31101323275
661975,1.30169716444
661976,1.57329932369
661977,1.53400964221
661978,1.30778442178
661979,1.43568241909
661980,0.259263800381
661981,1.31686653503
661982,1.41669156028
661983,1.29075016748
661984,1.38533711938
661985,1.2575682015
661986,1.10087861018
661987,1.3125650667
661988,1.22063505505
661989,1.08985768116
661990,1.43100625888
661991,1.41004330305
661992,1.36859383064
661993,1.42224696508
661994,1.42716253481
661995,1.54758181443
661996,1.49937442998
661997,0.996330176061
661998,1.26067331372
661999,1.285678964
662000,1.45488445707
662001,1.37292025172
662002,1.24712140837
662003,1.58847215895
662004,1.49872046955
662005,1.43163751552
662006,1.34797908802
662007,1.3254193893
662008,1.48560769479
662009,1.30669928826
662010,1.36578690943
662011,1.45312084878
662012,1.33993490366
662013,1.287416417
662014,1.35853850383
662015,1.48772331519
662016,1.37022404468
662017,0.484432160804
662018,1.48667080386
662019,1.23180893461
662020,1.16805494932
662021,1.46459597351
662022,1.51961481481
662023,1.43738545314
662024,1.40657025504
662025,1.49179591015
662026,1.45234460124
662027,1.47127706849
662028,1.38160885153
662029,1.21640242727
662030,1.13145643852
662031,1.11954939276
662032,1.44084514181
662033,1.31724716466
662034,1.37827516118
662035,1.39812325259
662036,1.38671086597
662037,1.22402733171
662038,1.57355218064
662039,1.53586525186
662040,1.54157200037
662041,1.31399391724
662042,1.2586108138
662043,1.39593093722
662044,1.36868879519
662045,1.42222582779
662046,1.10527519814
662047,1.39580835881
662048,0.98745914317
662049,1.36887268351
662050,1.35232625872
662051,0.948469350927
662052,0.871236029644
662053,0.811019378745
662054,1.14730787087
662055,0.834336842105
662056,1.29902271488
662057,1.42139017097
662058,1.06394892821
662059,1.33874882645
662060,1.02404354283
662061,1.18213246735
662062,1.2976922916
662063,1.37684195295
662064,1.31515810272
662065,1.21974935208
662066,1.32376078849
662067,1.45647272652
662068,0.864824641148
662069,1.52741406168
662070,1.33033723432
662071,1.42680969979
662072,0.888307246377
662073,1.3079567824
662074,1.28667095595
662075,0.752115243179
662076,1.40706330085
662077,1.28086458797
662078,1.41730833321
662079,1.33986572008
662080,1.32207011284
662081,1.34704694132
662083,1.02575085602
662084,1.19769729154
662085,1.06291080878
662086,1.29692721595
662087,1.15356764227
662088,1.26185681403
662089,1.20561867903
662090,1.04151435608
662091,0.686970198675
662092,1.14946102799
664152,1.3079567824
664228,1.24914309036
664230,1.20180126619
664235,1.0907376007
664293,1.3440642253
664295,0.870388351199
664304,1.43140502633
664345,1.08063104928
664364,0.66
664399,0.62887243076
664402,0.539601023545
664446,1.35820827816
664447,1.19476739049
664448,1.02644102254
664461,0.8394
664462,0.855
664496,0.824389616694
664501,0.39203728542
664504,0.570986053124
664539,1.37447943905
664612,1.27851043358
664614,1.00698994469
664627,1.0223487303
664646,1.43027113143
664654,1.35077110259
664662,1.47984021294
664663,1.1639510318
664691,0.713930442575
666910,1.27760480588
666911,1.53064265251
666912,1.38579009184
666913,1.39270617605
666914,1.304508574
667041,1.27824613937
670344,1.38940801135
670345,1.02715916102
670346,1.02291625612
670347,1.32974764116
670418,1.39239863303
670484,1.42208732127
670800,1.24685625842
674303,1.42856945833
674305,1.39272343222
674308,1.38719483009
674311,0.454398678414
674312,1.36677272727
674313,1.27071477518
674316,1.30479262494
674330,1.26093040343
674331,0.73725
674333,1.23488241875
674336,1.20306423257
674338,1.18582508956
674345,1.29204325913
675751,1.40629283536
675765,1.33509739546
675766,1.36743831905
675767,1.35972297113
675768,1.22611474993
675769,1.36983995706
675770,1.43009973454
675772,1.31533562675
675780,1.3620588357
677003,1.26356313237
677004,1.11878649996
677007,1.20001227967
677069,1.37540513342
677071,1.38394325167
677076,1.46045394737
