PoreSizeDistribution_geometric_WtAvg,MUKEY
0.182135944542,661917
0.0670871530249,661918
0.143322538019,661919
0.242637142857,661920
0.0536069978498,661921
0.364626569453,661922
0.355395657895,661923
0.212003937067,661924
0.288645956661,661925
0.324971447368,661926
0.239939736842,661927
0.175706795274,661928
0.142640095657,661929
0.179622600975,661930
0.164169525587,661931
0.177925314559,661932
0.258765779827,661933
0.189978879621,661934
0.208047708808,661935
0.258658217367,661936
0.193284034385,661937
0.238747450026,661938
0.228879428156,661939
0.171552505371,661940
0.185891994769,661941
0.258999392373,661942
0.235031477409,661943
0.238659100317,661944
0.315260139648,661946
0.305564096337,661947
0.0961140983607,661948
0.0472572131148,661949
0.147746885246,661950
0.362026548552,661951
0.242371483233,661952
0.281511454138,661953
0.248240371582,661954
0.271450106822,661955
0.09954,661956
0.436927682119,661957
0.172322090594,661958
0.199898949167,661959
0.180653437001,661960
0.228048550079,661961
0.136192790407,661962
0.164659668071,661963
0.188472793167,661964
0.187785971839,661965
0.199541896254,661966
0.193338151817,661967
0.192457623049,661968
0.207892758702,661969
0.191318522174,661970
0.182101672431,661971
0.200635022099,661972
0.185051099299,661973
0.216224147261,661974
0.217124577267,661975
0.214856186098,661976
0.217872296667,661977
0.253643281423,661978
0.197891477483,661979
0.222929048506,661980
0.193647593996,661981
0.214993871288,661982
0.190300412676,661983
0.201875718259,661984
0.290416989378,661985
0.228606414717,661986
0.283038660287,661987
0.218390190732,661988
0.245146330435,661989
0.200514286477,661990
0.204330738731,661991
0.206903705005,661992
0.214121675239,661993
0.209396319629,661994
0.212468205103,661995
0.228402389154,661996
0.210783275808,661997
0.213988352687,661998
0.256393164282,661999
0.208081932863,662000
0.257675382512,662001
0.200921791629,662002
0.193965821468,662003
0.203426053323,662004
0.198037997032,662005
0.223192331648,662006
0.346069053324,662007
0.209535302242,662008
0.345139430605,662009
0.193709971422,662010
0.263350663036,662011
0.284208674393,662012
0.217235963979,662013
0.19972720782,662014
0.216103112158,662015
0.214893289297,662016
0.0909271356784,662017
0.206838401712,662018
0.282634019383,662019
0.309501637323,662020
0.196616774756,662021
0.210791720165,662022
0.190669488993,662023
0.21379821231,662024
0.194533898254,662025
0.20333368983,662026
0.211778629746,662027
0.217104337796,662028
0.306777920673,662029
0.324714126867,662030
0.269242828553,662031
0.232507059489,662032
0.204290511094,662033
0.209471559107,662034
0.208378378716,662035
0.236411063105,662036
0.218761611459,662037
0.218331290162,662038
0.20692563503,662039
0.207581925088,662040
0.185797590691,662041
0.262941045591,662042
0.260086523401,662043
0.211362839331,662044
0.210322144985,662045
0.257580090169,662046
0.180852661755,662047
0.217627302277,662048
0.201031389067,662049
0.256842219883,662050
0.250918509381,662051
0.246938514664,662052
0.226917511826,662053
0.264206571997,662054
0.198825140394,662055
0.28097547404,662056
0.249568872204,662057
0.256265748733,662058
0.368132601016,662059
0.248368358811,662060
0.266552766128,662061
0.358988205973,662062
0.261169433377,662063
0.3638164817,662064
0.336719016662,662065
0.282012164575,662066
0.229229612183,662067
0.200872781403,662068
0.206688118081,662069
0.452448843537,662070
0.225295664467,662071
0.242177082676,662072
0.233483175068,662073
0.212835889316,662074
0.177464574318,662075
0.257067935464,662076
0.257416354381,662077
0.195295759958,662078
0.190173977176,662079
0.161183567059,662080
0.152623625255,662081
0.140944307717,662083
0.171863147687,662084
0.260787455189,662085
0.323720930539,662086
0.253835029368,662087
0.275313462626,662088
0.270951019518,662089
0.254346156981,662090
0.196195364238,662091
0.191778455771,662092
0.233483175068,664152
0.217005649725,664228
0.227856102836,664230
0.210862667886,664235
0.258377593279,664293
0.192966505415,664295
0.208183980436,664304
0.208680996865,664345
0.157197146402,664364
0.231661042273,664399
0.236346883161,664402
0.261102275686,664446
0.270605926912,664447
0.24407623807,664448
