textureName,CHtxtgrpKEY,CHTXTKEY,CHKEY,AvaWaterCon,MUKEY,ComponentPercent,MajorComponent,COKEY,TopDepth,BottomDepth,HorizonDepth,ksat_r,dbthirdbar_r,dbfifteenbar_r
Sandy loam,15573023,15681862,8219833,0,662015,6,Yes,3054411,86,135,48.0,14.0,1.4,
Sandy loam,15573024,15833206,8219833,0,662015,6,Yes,3054411,86,135,48.0,14.0,1.4,
Loam,15424853,15946709,8219834,0,662015,2,No ,2976692,25,48,,1.4,1.58,
Silt loam,15721196,15871057,8219834,0,662015,2,No ,2976692,25,48,,1.4,1.58,
Loam,15573025,15984550,8219834,0,662015,2,No ,2976692,25,48,,1.4,1.58,
Silt loam,15424854,15492678,8219835,0,662016,14,No ,3002599,38,61,,4.0,1.45,
Loam,15276682,15757543,8219835,0,662016,14,No ,3002599,38,61,,4.0,1.45,
Loam,15573026,15530519,8219835,0,662016,14,No ,3002599,38,61,,4.0,1.45,
Silt loam,15424868,15795369,8219868,0,661973,5,Yes,3054420,0,8,,4.0,0.83,
Loam,15424869,15946713,8219871,0,661974,12,Yes,3002608,76,91,,4.0,1.3,
Silt loam,15721212,15871061,8219871,0,661974,12,Yes,3002608,76,91,,4.0,1.3,
Loam,15573041,15984554,8219871,0,661974,12,Yes,3002608,76,91,,4.0,1.3,
Fine sandy loam,15424870,15492682,8219872,0,661974,5,Yes,3028515,81,140,,14.11,1.38,
Loam,15276698,15908891,8219872,0,661974,5,Yes,3028515,81,140,,14.11,1.38,
Very fine sandy loam,15573042,15530523,8219872,0,661974,5,Yes,3028515,81,140,,14.11,1.38,
Silty clay loam,15424871,15644026,8219874,0,661979,12,Yes,2976702,20,76,,1.41,1.38,
Silt loam,15276699,15454860,8219874,0,661979,12,Yes,2976702,20,76,,1.41,1.38,
Silty clay loam,15573043,15681867,8219874,0,661979,12,Yes,2976702,20,76,,1.41,1.38,
Loam,15424885,15946717,8219908,0,661961,15,No ,3028525,23,152,,4.0,1.43,
Loam,15573057,15984558,8219908,0,661961,15,No ,3028525,23,152,,4.0,1.43,
Silt loam,15424886,15492686,8219911,0,661960,4,No ,3028526,0,15,,4.0,1.4,
Clay,15424888,15795374,8219917,0,661963,2,No ,3028528,15,160,,0.42,1.15,
Silty clay,15573060,15833215,8219917,0,661963,2,No ,3028528,15,160,,0.42,1.15,
Sandy loam,15424901,15946721,8219947,0,662043,13,Yes,3054443,79,107,,14.11,1.4,
Sandy loam,15276729,15757555,8219947,0,662043,13,Yes,3054443,79,107,,14.11,1.4,
Loamy sand,15573073,15984562,8219947,0,662043,13,Yes,3054443,79,107,,14.11,1.4,
Loamy sand,15424902,15492690,8219948,0,662043,7,Yes,2976724,79,107,,14.11,1.4,
Sandy loam,15721244,15871069,8219948,0,662043,7,Yes,2976724,79,107,,14.11,1.4,
Sandy loam,15276730,15908899,8219948,0,662043,7,Yes,2976724,79,107,,14.11,1.4,
Silt,15424903,15644034,8219950,0,662043,3,Yes,3028538,69,86,,4.0,1.35,
Silt loam,15276731,15454868,8219950,0,662043,3,Yes,3028538,69,86,,4.0,1.35,
Silt loam,15424905,15946722,8219957,0,662045,11,Yes,3028540,25,122,,4.0,1.3,
Loam,15721248,15871070,8219957,0,662045,11,Yes,3028540,25,122,,4.0,1.3,
Silt loam,15573077,15984563,8219957,0,662045,11,Yes,3028540,25,122,,4.0,1.3,
Clay loam,15424918,15492694,8219986,0,661925,5,Yes,3054455,64,130,,1.4,1.4,
Silty clay loam,15573090,15530535,8219986,0,661925,5,Yes,3054455,64,130,,1.4,1.4,
Loamy coarse sand,15424919,15644038,8219988,0,661924,9,Yes,3002643,132,152,,42.0,1.75,
Coarse sand,15276747,15454872,8219988,0,661924,9,Yes,3002643,132,152,,42.0,1.75,
Loamy sand,15424920,15795382,8219991,0,661923,7,Yes,3002644,41,107,,42.0,1.65,
Loamy coarse sand,15276748,15606216,8219991,0,661923,7,Yes,3002644,41,107,,42.0,1.65,
Coarse sand,15424921,15946726,8219994,0,661921,21,Yes,3002645,36,84,,141.0,1.78,
Coarse sand,15573093,15984567,8219994,0,661921,21,Yes,3002645,36,84,,141.0,1.78,
Silty clay,15424935,15644042,8220031,0,661845,9,Yes,3054467,15,104,,0.0,1.23,
Clay,15276763,15454876,8220031,0,661845,9,Yes,3054467,15,104,,0.0,1.23,
Silty clay,15573107,15681883,8220031,0,661845,9,Yes,3054467,15,104,,0.0,1.23,
Loam,15424936,15795386,8220033,0,661917,11,Yes,3002655,0,10,,1.41,1.4,
Loam,15424937,15946730,8220037,0,661939,5,Yes,3054469,0,66,,14.11,1.35,
Silty clay loam,15424938,15492699,8220041,5,677004,5,Yes,2976751,0,28,,1.41,1.15,
Silty clay loam,15424951,15644046,8220075,0,661643,2,Yes,3002668,33,46,,1.41,1.4,
Silty clay,15424952,15795390,8220078,0,661644,46,Yes,3054481,48,102,,0.0,1.4,
Clay,15573124,15833231,8220078,0,661644,46,Yes,3054481,48,102,,0.0,1.4,
Silt loam,15424953,15946734,8220081,0,661645,5,Yes,3054482,0,18,,4.23,1.35,
Fine sandy loam,15424954,15492703,8220085,0,661647,7,Yes,2976764,109,152,,14.11,1.35,
Silty clay,15424955,15644047,8220088,0,661648,6,Yes,2976765,13,160,,0.0,1.43,
Clay,15573127,15833232,8220088,0,661648,6,Yes,2976765,13,160,,0.0,1.43,
Loamy coarse sand,15424968,15795394,8220115,0,661950,53,Yes,2976774,147,152,,141.0,1.65,
Coarse sand,15573140,15984579,8220115,0,661950,53,Yes,2976774,147,152,,141.0,1.65,
Loamy sand,15424969,15946738,8220117,0,661949,2,Yes,3054494,30,102,,42.0,,
Loamy coarse sand,15276797,15908916,8220117,0,661949,2,Yes,3054494,30,102,,42.0,,
Loamy coarse sand,15573141,15530548,8220117,0,661949,2,Yes,3054494,30,102,,42.0,,
Sandy loam,15424970,15492707,8220118,0,677071,7,No ,2976775,61,114,,14.0,1.48,
Sandy loam,15721312,15871086,8220118,0,677071,7,No ,2976775,61,114,,14.0,1.48,
Sandy loam,15276798,15454885,8220118,0,677071,7,No ,2976775,61,114,,14.0,1.48,
Sandy loam,15424971,15644051,8220120,0,661650,14,No ,3028589,99,152,,4.0,1.38,
Loam,15721314,15568399,8220120,0,661650,14,No ,3028589,99,152,,4.0,1.38,
Sandy loam,15573143,15833236,8220120,0,661650,14,No ,3028589,99,152,,4.0,1.38,
Loam,15424985,15946742,8220155,0,661832,15,Yes,3054504,36,152,,14.11,1.15,
Sandy loam,15721328,15871090,8220155,0,661832,15,Yes,3054504,36,152,,14.11,1.15,
Sandy loam,15573157,15530552,8220155,0,661832,15,Yes,3054504,36,152,,14.11,1.15,
Loam,15424986,15492711,8220157,0,661701,22,Yes,3028599,0,13,,4.0,1.28,
