ksat_r_WtAvg,MUKEY
45.6409737705,661734
6.31239266363,661735
64.8779069421,661736
3.92941992032,661737
4.53486073298,661738
5.68990893582,661739
3.92,661740
3.6948,661741
12.0887295374,661742
13.7162648731,661743
18.2052,661744
41.306,661745
49.9611,661746
3.83655139442,661747
9.05183912776,661748
3.97247527675,661749
17.2443268187,661750
4.11824251575,661751
2.85008021878,661752
3.06818303111,661753
19.199291937,661754
6.05833582245,661755
4.115246212,661756
9.13107391284,661757
2.30013984925,661758
40.3312342265,661759
4.6701650129,661760
0.42343,661761
7.33068554813,661762
3.11580266072,661763
4.25127827147,661764
2.70301158809,661765
2.05313668964,661766
2.92695806452,661767
20.0487085744,661768
5.2270866036,661769
4.60887310215,661770
3.91523636364,661771
3.52856842105,661772
43.4677990716,661773
17.5441281985,661774
3.55265286012,661775
10.238313444,661776
37.5370774495,661777
1.94787968088,661778
9.0258427894,661779
26.4365312322,661780
5.77469175064,661781
10.6256923077,661782
13.3110803976,661783
16.882124213,661784
1.79011884469,661785
7.18578763771,661786
4.69483460068,661787
16.8006671733,661788
3.03928861522,661789
5.58473503042,661790
4.86949721478,661791
16.5794766892,661792
29.0456577539,661793
3.82282857143,661794
6.48395558353,661795
50.5831460933,661796
5.5910229119,661797
9.64837380879,661798
5.78746278693,661799
5.63380718153,661800
82.289432659,661801
3.08295357551,661802
45.5109974153,661803
67.7712494596,661804
7.19552285303,661805
32.9025452339,661806
21.8020712643,661807
4.24049171576,661808
41.557143505,661809
10.6407847096,661810
0.146163075314,661811
7.42348379316,661812
14.5346595767,661813
19.8799192534,661814
1.36546815113,661815
5.13136353499,661816
19.2118119868,661817
35.283080482,661818
4.92892503579,661819
3.13241348353,661820
3.07381921155,661821
2.60855334859,661822
2.49915950416,661823
25.310338631,661824
10.2697171894,661825
5.10469201137,661826
4.20737054136,661827
5.96604953621,661828
1.01021276195,661829
3.80066369166,661830
3.21719798258,661831
7.95794395267,661832
6.6594287234,661833
14.8509173333,661834
17.5735279165,661835
2.38138627471,661836
8.28079151372,661837
15.8903454954,661838
2.83296300075,661839
17.5843562164,661840
28.6597646561,661841
26.9243979003,661842
4.54330828252,661843
4.2008041062,661844
2.70561342342,661845
25.7810610455,661846
22.7971207456,661847
3.78529163628,661848
13.8455474812,661849
7.2623417762,661850
2.57873389608,661851
6.43484104208,661852
6.70352182983,661853
9.17682051107,661854
2.58336308574,661855
8.34823775832,661856
4.59263214427,661857
6.55087172976,661858
29.9224004686,661859
26.7118058565,661860
2.68314983716,661861
0.778036946343,661862
13.3992778318,661863
2.65389759494,661864
2.01462201123,661865
36.1458346298,661866
13.9440891999,661867
3.69601986878,661868
24.6716581132,661869
34.3908098819,661870
35.3580327869,661871
39.4808838939,661872
8.78571295247,661873
6.33046789259,661874
3.56533730229,661875
1.51051827509,661876
2.84960363788,661877
2.62676342174,661878
3.24247013556,661879
2.95542698884,661880
14.6938971469,661881
0.502920430698,661882
14.1621979473,661883
2.05921975979,661884
3.09574108202,661885
2.41135020475,661886
7.34654802632,661887
5.02257077551,661888
2.75239647092,661889
37.2505905061,661890
11.529319129,661891
32.5586970108,661892
37.8103099928,661893
12.1344663679,661894
11.4400419841,661895
26.8700994296,661896
2.30747129187,661897
11.2069311389,661898
8.74562810962,661899
45.1877804578,661900
