MUKEY,BubblingPressure_Geometric_WtAvg
664614,1.14440425546e-319
664627,6.36010705891e-320
664646,1.71682871273e-319
664654,9.52657378311e-320
664662,6.91494277919e-320
664663,5.47029483075e-320
664691,6.49745730846e-320
666910,4.31269902255e-320
666911,1.73273762653e-319
666912,3.75193451452e-320
666913,4.67731946918e-320
666914,8.29140966851e-320
667041,1.4328397795e-319
670344,1.14287265196e-319
670345,7.57007382558e-320
670346,8.72816369943e-320
670347,1.14366315699e-319
670418,5.56663763169e-320
670484,3.16908527212e-319
670800,9.02806154646e-320
674303,1.81850742265e-319
674305,3.12501461651e-319
674308,2.55298541176e-319
674311,3.22822492993e-320
674312,4.42584005545e-320
674313,5.31268788973e-320
674316,3.53602782729e-320
674330,2.6674604219e-320
674331,2.16400752878e-321
674333,6.21628454941e-319
674336,6.28155062123e-320
674338,3.49650257562e-320
674345,9.55374739363e-320
675751,1.54780885529e-319
675765,3.63434689081e-320
675766,3.31765081182e-320
675767,4.13187099617e-320
675768,5.55230972796e-320
675769,2.99290146281e-319
675770,8.11947482376e-320
675772,2.14533184737e-319
675780,3.7064804751e-320
677003,6.05230416156e-320
677004,6.63678382059e-320
677007,8.90059260983e-320
677069,1.53273985309e-319
677071,9.05721141956e-320
677076,2.30481623785e-320
