MUKEY,ResidualWaterContent_WtAvg
661931,0.0456485346013
661932,0.0602043641654
661933,0.0431069606075
661934,0.0593947174788
661935,0.0469239161843
661936,0.0300333046037
661937,0.0389081504761
661938,0.0539350366763
661939,0.0394745334131
661940,0.0244431622259
661941,0.0217981185995
661942,0.0351093827784
661943,0.025344951618
661944,0.0277904305676
661946,0.0308391347905
661947,0.0209579538555
661948,0.00492786885246
661949,0.00593204918033
661950,0.0109208196721
661951,0.0332678058347
661952,0.0257874966836
661953,0.0310361422271
661954,0.0344511669194
661955,0.0313768124199
661956,0.00735
661957,0.0331139072848
661958,0.206731693003
661959,0.0371140393689
661960,0.0717018451074
661961,0.024736383621
661962,0.273446465179
661963,0.193321078519
661964,0.108025384348
661965,0.0811262323278
661966,0.0220562887266
661967,0.0622070421095
661968,0.0669897906508
661969,0.0478056801633
661970,0.131134854451
661971,0.144876426004
661972,0.0818127584543
661973,0.0590095630331
661974,0.0361965639637
661975,0.0242182281407
661976,0.0436315305102
661977,0.0418261275491
661978,0.0309350013889
661979,0.0797849808307
661980,0.0389879447682
661981,0.12860430386
661982,0.0384874833903
661983,0.0714440141321
661984,0.0316605849507
661985,0.0315027202699
661986,0.0271558284315
661987,0.0320043144374
661988,0.0240308929012
661989,0.0281433275362
661990,0.0886307217969
661991,0.0497190081888
661992,0.0541597974941
661993,0.03144505761
661994,0.0490307111481
661995,0.0429048484629
661996,0.0404224913412
661997,0.0220961735869
661998,0.0449883454656
661999,0.0285037974487
662000,0.0447075013061
662001,0.0322328669218
662002,0.034825908455
662003,0.0442823009426
662004,0.0452429227306
662005,0.0564184912522
662006,0.0781710147089
662007,0.0282433950152
662008,0.0415863768911
662009,0.0229050355872
662010,0.119143345195
662011,0.0293878039995
662012,0.0312159042064
662013,0.0224681066848
662014,0.115671935106
662015,0.0376764093991
662016,0.0242182616608
662017,0.00789798994975
662018,0.0391600583204
662019,0.0335108590911
662020,0.0273240022723
662021,0.0251278385807
662022,0.0439999012346
662023,0.0591300199748
662024,0.0249361993445
662025,0.0408329143885
662026,0.032859387696
662027,0.0373843469474
662028,0.0348582948604
662029,0.0326390099714
662030,0.0330464880213
662031,0.0310530525654
662032,0.0338592550429
662033,0.0234209446162
662034,0.0356512461014
662035,0.0431831618991
662036,0.0287077948656
662037,0.0230287830248
662038,0.0402834110226
662039,0.0408280845799
662040,0.0359707629348
662041,0.0254777515194
662042,0.0332953331336
662043,0.0362388678087
662044,0.0214431697784
662045,0.114318401887
662046,0.0798002101735
662047,0.120884881284
662048,0.0949404530468
662049,0.0424279463783
662050,0.0315862384222
662051,0.0258681515417
662052,0.0227867108168
662053,0.0208963796909
662054,0.0283973977217
662055,0.0228836385007
662056,0.0303869279649
662057,0.129157378297
662058,0.0355851634858
662059,0.0645967224255
662060,0.0264684775137
662061,0.0316659298502
662062,0.0340531551318
662063,0.0314756531352
662064,0.0295100113895
662065,0.0290432419721
662066,0.121371213854
662067,0.159146300666
662068,0.0733964142552
662069,0.0784538745387
662070,0.0223583673469
662071,0.0318418424198
662072,0.0299559675603
662073,0.0244971392773
662074,0.025319004369
662075,0.0190657282784
662076,0.0495892045733
662077,0.0281970432801
662078,0.124380165277
662079,0.0480931798479
662080,0.14979934184
662081,0.189060046431
662083,0.0549938758157
662084,0.0528490773596
662085,0.0311809173105
662086,0.0342199352631
662087,0.0322025042584
662088,0.0276992277458
662089,0.0333502894851
662090,0.0303913369264
662091,0.0181258278146
662092,0.0213234710725
664152,0.0244971392773
664228,0.023892776432
664230,0.0282892427983
664235,0.0284963431795
664293,0.0275939428859
664295,0.0203342405461
664304,0.0427064644986
664345,0.0297114052947
664364,0.0133462779156
664399,0.0254848152893
664402,0.0263126690446
664446,0.0317713527295
664447,0.031669726249
664448,0.0291884166854
664461,0.01543
664462,0.01425
664496,0.0227004520296
664501,0.0122431442305
664504,0.0101736409422
664539,0.0298371865534
664612,0.0274456745271
664614,0.0229372982518
664627,0.0249199179551
664646,0.0288448388093
664654,0.028010813219
664662,0.0414572911789
664663,0.0258082093007
664691,0.0193230739086
666910,0.0279212307123
666911,0.0293782727877
666912,0.0272624938587
666913,0.0296794143342
666914,0.0529936060372
667041,0.0763690281619
670344,0.0619117239645
670345,0.0294315075495
670346,0.0332622784589
670347,0.0539029397542
670418,0.0293712039518
670484,0.0374059362417
670800,0.0240031737355
674303,0.0271888014835
674305,0.0387819289065
674308,0.0283312577704
674311,0.0250167898252
674312,0.0212535353535
674313,0.0359920334149
674316,0.0740061854628
674330,0.129132186462
674331,0.0274111842105
674333,0.0444061197724
674336,0.162067001422
674338,0.0337612199225
674345,0.0360503189174
675751,0.0245012473433
675765,0.0708581905107
675766,0.0774398156217
675767,0.0633016766435
675768,0.0286873832358
675769,0.0309113892216
675770,0.0608318059034
675772,0.0294372827416
675780,0.0438431815834
677003,0.146972254003
677004,0.11069639261
677007,0.030980084975
677069,0.0277615444083
677071,0.0714620628664
677076,0.0272194422311
