ComponentPercent,MajorComponent,MUKEY,COKEY
3,Yes,661672,2970281
3,Yes,661672,2989711
5,Yes,661672,3002664
4,Yes,661672,3067430
3,Yes,661672,3022094
4,Yes,661672,3054477
5,Yes,661672,3028571
3,Yes,661672,2996188
3,Yes,661672,3041524
17,Yes,661672,2989710
3,Yes,661672,3035048
7,Yes,661672,3015617
3,Yes,661672,3060953
7,Yes,661672,2976757
6,Yes,661672,2983234
12,Yes,661672,2996187
5,Yes,661672,3048000
19,Yes,661673,3009142
20,Yes,661673,3028572
10,Yes,661673,3035049
17,Yes,661673,3067431
13,Yes,661673,3054478
15,Yes,661673,2970282
6,Yes,661673,2989712
20,Yes,661674,3041523
3,Yes,661674,3054476
5,Yes,661674,2970280
19,Yes,661674,3002663
13,Yes,661674,3047999
12,Yes,661674,2983233
3,Yes,661674,3035047
13,Yes,661674,3067429
6,Yes,661674,3009140
6,Yes,661674,3028570
11,Yes,661675,2983232
34,Yes,661675,3015615
16,Yes,661675,3002662
21,Yes,661675,3041522
18,Yes,661675,3022092
6,Yes,661676,2970279
5,Yes,661676,3067428
2,Yes,661676,3022093
9,Yes,661676,2989709
5,Yes,661676,2976756
7,Yes,661676,3009139
12,Yes,661676,3054475
5,Yes,661676,3060952
6,Yes,661676,2996186
13,Yes,661676,3028569
2,Yes,661676,3015616
5,Yes,661676,3035046
23,Yes,661676,3047998
20,Yes,661677,3028345
19,Yes,661677,3008915
15,Yes,661677,3054251
18,Yes,661677,2970055
9,Yes,661677,2989485
7,Yes,661677,3034822
12,Yes,661677,3067204
8,No ,661678,2990952
7,No ,661678,3003905
10,No ,661678,3029812
8,No ,661678,3010382
28,No ,661678,3049241
2,No ,661678,2965045
17,No ,661678,2984475
8,No ,661678,2971522
2,No ,661678,3055718
4,No ,661678,3016859
6,No ,661678,3062194
22,Yes,661679,2976532
39,Yes,661679,2995962
18,Yes,661679,3015392
21,Yes,661679,3060728
5,Yes,661680,3008916
24,Yes,661680,3021869
2,Yes,661680,2989486
16,Yes,661680,3041299
2,Yes,661680,3054252
4,Yes,661680,3067205
2,Yes,661680,2970056
2,Yes,661680,3034823
8,Yes,661680,3028346
6,Yes,661680,2983009
18,Yes,661680,3002439
11,Yes,661680,3047775
10,Yes,661681,2995963
10,Yes,661681,3060729
8,Yes,661681,3041300
5,Yes,661681,3028347
19,Yes,661681,2976533
12,Yes,661681,2983010
12,Yes,661681,3015393
8,Yes,661681,3002440
5,Yes,661681,3047776
11,Yes,661681,3021870
12,Yes,661682,2983230
6,Yes,661682,3047996
8,Yes,661682,3015613
3,Yes,661682,2996184
3,Yes,661682,2989707
6,Yes,661682,3028567
3,Yes,661682,3060950
3,Yes,661682,2976754
6,Yes,661682,3009137
7,Yes,661682,3041520
5,Yes,661682,2970277
14,Yes,661682,3002660
2,Yes,661682,3067426
12,Yes,661682,3022090
5,Yes,661682,3054473
5,Yes,661682,3035044
6,Yes,661683,2970278
7,Yes,661683,3002661
1,Yes,661683,2976755
6,Yes,661683,3054474
13,Yes,661683,3022091
2,Yes,661683,3060951
7,Yes,661683,3009138
2,Yes,661683,2996185
3,Yes,661683,3041521
8,Yes,661683,3028568
3,Yes,661683,3035045
7,Yes,661683,2983231
8,Yes,661683,3047997
18,Yes,661683,3015614
7,Yes,661683,3067427
2,Yes,661683,2989708
13,Yes,661684,3021871
16,Yes,661684,2983011
32,Yes,661684,3015394
12,Yes,661684,3047777
16,Yes,661684,3002441
11,Yes,661684,3041301
17,Yes,661685,3067207
3,Yes,661685,2989488
51,Yes,661685,3028348
4,Yes,661685,3034825
17,Yes,661685,3008918
3,Yes,661685,3054254
