"A11"||"H"||||0|||13|||||10|20|30|15|28|40|35|45|55|30|40|50|25|37.5|50|20|30|40||43|||4.2|||5.8|||7.6|||13.3|||12.1|||39.5||||||||15|17.5|20||||2|2.5|3||||1.25|1.3|1.35|||||1.48|||4.23|9.17|14.11|0.07|0.09|0.11|||||9.6|||4.2|||||0|1.5|2.9|20|25|30|5|7.5|10|0|0|0|".10"|".28"|0|0|0|0|0|0|0|0|0|0|1|2|10|15|20|||||||7.4|7.9|8.4|||||||||||||||||||||||||||||||||"10312893"|"29203533"
"A12"||"H"||||13|||25|||||5|10|15|25|35|45|45|55|65|40|50|60|35|45|55|25|35|45||43|||4.2|||5.8|||7.6|||13.3|||12.1|||39.5||||||||15|17.5|20||||1|1.5|2||||1.3|1.35|1.4|||||1.5|||4.23|9.17|14.11|0.08|0.1|0.11|||||11.5|||4.8|||12||0|1.5|2.9|20|25|30|5|7.5|10|0|0|1|".15"|".37"|0|0|0|0|0|0|0|0|0|0|1|2|5|10|15|||||||7.4|7.9|8.4|||||||||||||||||||||||||||||||||"10312893"|"29203534"
"B2t"||"H"||||25|||56|||||10|18|25|30|43|55|25|35|45|20|30|40|15|25|35|10|22.5|35||34.7|||3|||4.3|||6|||11|||10.4|||32.8||||||||30|32.5|35||||0|0.5|1||||1.3|1.35|1.4|||||1.67|||1.41|2.82|4.23|0.06|0.08|0.09|||||6.6|||3.7|||||0|1.5|2.9|35|40|45|10|15|20|0|0|2|".10"|".32"|0|0|0|0|0|0|0|0|0|0|1|2|10|15|20|||||||7.4|7.9|8.4|||||||||||||||||||||||||||||||||"10312893"|"29203535"
"B3ca"||"H"||||56|||76|||||10|18|25|30|43|55|25|35|45|20|30|40|15|25|35|10|22.5|35||35.4|||3.1|||4.4|||6.1|||11.2|||10.6|||33.6||||||||27|31|35||||0|0.5|1||||1.3|1.35|1.4|||||1.67|||1.41|2.82|4.23|0.06|0.08|0.09|||||6.5|||3.6|||||0|1.5|2.9|35|40|45|10|15|20|0|0|2|".10"|".32"|1|8|15|0|0|0|0|0|0|0|1|2|10|15|20|||||||7.4|7.9|8.4|||||||||||||||||||||||||||||||||"10312893"|"29203536"
"R"||"H"||||76|||101||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0.71|1.41||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"10312893"|"29203537"
"A1"||"H"||||0|||10|||||0|5|10|25|35|45|40|50|60|35|45|55|25|37.5|50|20|30|40||43|||4.2|||5.8|||7.6|||13.3|||12.1|||39.5||||||||15|17.5|20||||2|2.5|3||||1.15|1.23|1.3|||||1.36|||14.11|28.23|42.34|0.08|0.1|0.11|||||12|||5.1|||13||0|1.5|2.9|20|25|30|5|7.5|10|0|0|0|".10"|".28"|0|0|0|0|0|0|0|0|0|0|1|2|10|15|20|||||||6.6|7|7.3|||||||||||||||||||||||||||||||||"10312896"|"29203538"
"B2t"||"H"||||10|||23|||||0|5|10|25|35|45|40|50|60|35|45|55|25|37.5|50|20|30|40||34.7|||3|||4.3|||6|||11|||10.4|||32.8||||||||30|32.5|35||||1|1.5|2||||1.2|1.28|1.35|||||1.42|||1.41|2.82|4.23|0.08|0.1|0.12|||||13.8|||7.9|||13||0|1.5|2.9|35|40|45|10|15|20|0|0|2|".10"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|15|20|25|||||||6.6|7|7.3|||||||||||||||||||||||||||||||||"10312896"|"29203539"
"B3ca"||"H"||||23|||43|||||0|5|10|30|40|50|35|47.5|60|30|42.5|55|25|37.5|50|20|30|40||34.7|||3|||4.3|||6|||11|||10.4|||32.8||||||||30|32.5|35||||0|0.5|1||||1.2|1.28|1.35|||||1.43|||1.41|2.82|4.23|0.06|0.08|0.1|||||12.1|||6.7|||11||0|1.5|2.9|35|40|45|15|17.5|20|0|1|2|".10"|".32"|3|9|15|0|0|0|0|0|0|0|1|2|10|15|20|||||||7.9|8.2|8.4|||||||||||||||||||||||||||||||||"10312896"|"29203540"
"Cca"||"H"||||43|||51|||||0|5|10|40|50|60|25|35|45|20|30|40|15|25|35|5|12.5|20||57|||1.3|||8.4|||15.1|||20.7|||11.5|||18||||||||20|25|30||||0|0.5|1||||1.25|1.33|1.4|||||1.6|||14.11|28.23|42.34|0.06|0.07|0.08|||||5.4|||3.3|||||0|1.5|2.9|30|35|40|10|15|20|0|0|0|".05"|".28"|3|9|15|0|0|0|0|0|0|0|1|2|10|15|20|||||||7.9|8.2|8.4|||||||||||||||||||||||||||||||||"10312896"|"29203541"
"R"||"H"||||51|||76||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0.71|1.41||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"10312896"|"29203542"
"A11"||"H"||||0|||13|||||10|20|30|15|28|40|35|45|55|30|40|50|25|37.5|50|20|30|40||43|||4.2|||5.8|||7.6|||13.3|||12.1|||39.5||||||||15|17.5|20||||2|2.5|3||||1.25|1.3|1.35|||||1.48|||4.23|9.17|14.11|0.07|0.09|0.11|||||9.6|||4.2|||||0|1.5|2.9|20|25|30|5|7.5|10|0|0|0|".10"|".28"|0|0|0|0|0|0|0|0|0|0|1|2|10|15|20|||||||7.4|7.9|8.4|||||||||||||||||||||||||||||||||"10312897"|"29203543"
"A12"||"H"||||13|||25|||||5|10|15|25|35|45|45|55|65|40|50|60|35|45|55|25|35|45||43|||4.2|||5.8|||7.6|||13.3|||12.1|||39.5||||||||15|17.5|20||||1|1.5|2||||1.3|1.35|1.4|||||1.5|||4.23|9.17|14.11|0.08|0.1|0.11|||||11.5|||4.8|||12||0|1.5|2.9|20|25|30|5|7.5|10|0|0|1|".15"|".37"|0|0|0|0|0|0|0|0|0|0|1|2|5|10|15|||||||7.4|7.9|8.4|||||||||||||||||||||||||||||||||"10312897"|"29203544"
"B2t"||"H"||||25|||56|||||10|18|25|30|43|55|25|35|45|20|30|40|15|25|35|10|22.5|35||34.7|||3|||4.3|||6|||11|||10.4|||32.8||||||||30|32.5|35||||0|0.5|1||||1.3|1.35|1.4|||||1.67|||1.41|2.82|4.23|0.06|0.08|0.09|||||6.6|||3.7|||||0|1.5|2.9|35|40|45|10|15|20|0|0|2|".10"|".32"|0|0|0|0|0|0|0|0|0|0|1|2|10|15|20|||||||7.4|7.9|8.4|||||||||||||||||||||||||||||||||"10312897"|"29203545"
"B3ca"||"H"||||56|||76|||||10|18|25|30|43|55|25|35|45|20|30|40|15|25|35|10|22.5|35||35.4|||3.1|||4.4|||6.1|||11.2|||10.6|||33.6||||||||27|31|35||||0|0.5|1||||1.3|1.35|1.4|||||1.67|||1.41|2.82|4.23|0.06|0.08|0.09|||||6.5|||3.6|||||0|1.5|2.9|35|40|45|10|15|20|0|0|2|".10"|".32"|1|8|15|0|0|0|0|0|0|0|1|2|10|15|20|||||||7.4|7.9|8.4|||||||||||||||||||||||||||||||||"10312897"|"29203546"
"R"||"H"||||76|||101||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||0|0.71|1.41||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||"10312897"|"29203547"
"A11"||"H"||||0|||20|||||0|3|5|0|3|5|95|97.5|100|80|90|100|65|75|85|50|62.5|75||41.6|||3.9|||5.4|||7.3|||13|||12|||37.4||||||||18|21|24||||2|6|10||||1.25|1.33|1.4|||||1.4|||4.23|9.17|14.11|0.14|0.16|0.17|||||29.3|||16.9|||37||0|1.5|2.9|30|32.5|35|10|12.5|15|2|5|10|".28"|".28"|0|0|0|0|0|0|0|0|0|0|0|0|10|17.5|25|||||||6.6|7|7.3|||||||||||||||||||||||||||||||||"10312899"|"29203548"
