"Sand"||"57202655"|"58214266"
"Loam"||"57202657"|"58214706"
"Clay loam"||"57202664"|"58214707"
"Sand"||"57202666"|"58214708"
"Loam"||"57202673"|"58214710"
"Clay loam"||"57202675"|"58214711"
"Clay loam"||"57202680"|"58214596"
"Clay loam"||"57202682"|"58214597"
"Loam"||"57202689"|"58214685"
"Silty clay loam"||"57202691"|"58214914"
"Silt loam"||"57202698"|"58213928"
"Silty clay"||"57202700"|"58213929"
"Silty clay"||"57202705"|"58214716"
"Silty clay"||"57202707"|"58214822"
"Silty clay"||"57202714"|"58214270"
"Silt loam"||"57202716"|"58214104"
"Silty clay"||"57202723"|"58214599"
"Silty clay"||"57202725"|"58214600"
"Silty clay loam"||"57202730"|"58214273"
"Clay"||"57202732"|"58214109"
"Silty clay loam"||"57202739"|"58214993"
"Silty clay"||"57202741"|"58214995"
"Silt loam"||"57202748"|"58213938"
"Loam"||"57202750"|"58214669"
"Silty clay loam"||"57202755"|"58214757"
"Silty clay loam"||"57202757"|"58214758"
|"Peat"|"57202759"|"58214663"
"Silt loam"||"57202764"|"58214115"
"Silty clay loam"||"57202766"|"58214278"
"Loam"||"57202773"|"58214921"
"Silt loam"||"57202775"|"58214923"
"Silty clay loam"||"57202780"|"58214277"
"Sandy loam"||"57202782"|"58214112"
|"Unweathered bedrock"|"57202784"|"58214114"
"Silty clay loam"||"57202789"|"58215021"
|"Peat"|"57202791"|"58215007"
"Silty clay"||"57202798"|"58214776"
"Silty clay loam"||"57202800"|"58215008"
"Silty clay loam"||"57202805"|"58214999"
"Loam"||"57202807"|"58215014"
"Clay loam"||"57202809"|"58215016"
"Silty clay loam"||"57202814"|"58214116"
"Silty clay loam"||"57202816"|"58214118"
"Loam"||"57202823"|"58215017"
"Clay loam"||"57202825"|"58214671"
"Loam"||"57202832"|"58213946"
"Clay loam"||"57202834"|"58213947"
"Sandy loam"||"57202839"|"58213948"
"Loam"||"57202841"|"58213949"
"Clay loam"||"57202848"|"58213952"
"Clay loam"||"57202850"|"58213953"
"Clay loam"||"57202857"|"58214450"
"Silt loam"||"57202859"|"58213954"
"Silt loam"||"57202864"|"58213955"
"Loam"||"57202866"|"58213956"
"Loam"||"57202873"|"58213957"
"Loam"||"57202875"|"58213958"
"Loam"||"57202882"|"58213961"
"Fine sandy loam"||"57202884"|"58213962"
"Silty clay"||"57202889"|"58213959"
"Silt loam"||"57202891"|"58213960"
"Silt loam"||"57202898"|"58213963"
"Loam"||"57202900"|"58213964"
"Loam"||"57202907"|"58214722"
"Loam"||"57202909"|"58214826"
"Silty clay loam"||"57202914"|"58214654"
"Fine sandy loam"||"57202916"|"58214655"
"Loam"||"57202923"|"58214137"
"Fine sandy loam"||"57202925"|"58214139"
"Silty clay loam"||"57202932"|"58214656"
"Fine sandy loam"||"57202934"|"58214983"
"Loam"||"57202939"|"58214467"
"Loam"||"57202941"|"58214305"
"Silty clay loam"||"57202948"|"58214763"
"Loam"||"57202950"|"58213970"
"Loam"||"57202957"|"58214308"
"Silt loam"||"57202959"|"58214309"
"Loam"||"57202964"|"58214471"
"Loam"||"57202966"|"58213973"
"Fine sandy loam"||"57202973"|"58214875"
"Silty clay loam"||"57202975"|"58214785"
"Silt loam"||"57202982"|"58214314"
"Silty clay loam"||"57202984"|"58214149"
"Silt loam"||"57202989"|"58214475"
"Silty clay loam"||"57202991"|"58214315"
"Clay"||"57202998"|"58214317"
"Loam"||"57203000"|"58214318"
"Clay loam"||"57203007"|"58214320"
"Loam"||"57203009"|"58214321"
"Fine sandy loam"||"57203014"|"58214322"
"Loam"||"57203016"|"58214323"
"Silty clay loam"||"57203018"|"58214480"
"Loam"||"57203023"|"58214324"
"Clay"||"57203025"|"58214325"
|"Unweathered bedrock"|"57203032"|"58214326"
"Clay loam"||"57203034"|"58213989"
"Loam"||"57203039"|"58213988"
